placeUrl,title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,tuesday,wednesday,thursday,friday,saturday,sunday,monday,imgUrl,isClaimed,latitude,longitude,query,timestamp,openingHours,error
"https://www.google.com/maps/place/ChargePoint+Charging+Station/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x53717740467ba0f1:0x69a9481cb7151dac!8m2!3d50.9495336!4d-113.9976947?hl=EN",ChargePoint Charging Station,,,,Electric vehicle charging station,,"11527 29 St SE, Calgary, AB T2Z 0N4, Canada","W2X2+RW Calgary, Alberta, Canada",ca.chargepoint.com,+1 888-758-4389,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,50.9495625,-113.9976875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:40.977Z,,
"https://www.google.com/maps/place/Tesla+Supercharger/@47.4551852,-97.8348796,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x537160f9eeedc029:0x4401fbcd44c66db9!8m2!3d51.2035978!4d-113.9897057?hl=EN",Tesla Supercharger,,4.3,123,Electric vehicle charging station,,"261055 Crossiron Blvd, Rocky View County, AB T4A 0G3, Canada","6236+C4 Calgary, Alberta, Canada",tesla.com,+1 877-798-3752,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPg7Ba7RO0-0A0-jeTGuUWXyE9ZeexdLF0K3j-P=w408-h306-k-no,FALSE,51.2035625,-113.9896875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:44.282Z,,
"https://www.google.com/maps/place/Flo+Charging+Station/@51.2035978,-114.5500084,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x537170c230bf17dd:0xcd44c5a8011d6fe6!8m2!3d50.980762!4d-114.039673?hl=EN",Flo Charging Station,,,,Electric vehicle charging station,,"933-33 Heritage Meadows Way SE, Calgary, AB T2H 3B8, Canada","XXJ6+84 Calgary, Alberta, Canada",flo.ca,+1 844-825-3356,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,50.9808125,-114.0396875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:45.754Z,,
"https://www.google.com/maps/place/Flo+Charging+Station/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x53716e9445f1c1f9:0x6f5548534f7faaad!8m2!3d51.078147!4d-114.195699?hl=EN",Flo Charging Station,,,,Electric vehicle charging station,,"7137 16 Ave NW, Calgary, AB T3B 2S6, Canada","3RH3+7P Calgary, Alberta, Canada",flo.ca,+1 844-825-3356,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,51.0781875,-114.1956875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:47.473Z,,
"https://www.google.com/maps/place/Flo+Charging+Station/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x537171f8adfca3d5:0x3cfb4b25e31d28c3!8m2!3d51.015625!4d-114.166888?hl=EN",Flo Charging Station,,,,Electric vehicle charging station,,"192 Stewart Green SW, Calgary, AB T3H 3C8, Canada","2R8M+76 Calgary, Alberta, Canada",flo.ca,+1 844-825-3356,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://geo0.ggpht.com/cbk?panoid=45aVm_Vlh-ndkimP5MCdng&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=146.16762&pitch=0&thumbfov=100,FALSE,51.0156875,-114.1669375,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:49.541Z,,
"https://www.google.com/maps/place/Flo+Charging+Station,+135+Southland+Dr+SE,+Calgary,+AB+T2J+5X5,+Canada/@51.2496089,-113.8129046,9z/data=!4m5!1m2!2m1!1scalgary+electrical+charger+station!3m1!1s0x537171303d58e76f:0x2341d17f518cd99d?hl=EN",Flo Charging Station,,,,Electric vehicle charging station,,"135 Southland Dr SE, Calgary, AB T2J 5X5, Canada","XW7J+MG Calgary, Alberta, Canada",flo.ca,+1 844-825-3356,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,50.9641875,-114.0686875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:51.573Z,,
"https://www.google.com/maps/place/ChargePoint+Charging+Station/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x537164dc212c6123:0xbf47b5ca5388e7f3!8m2!3d51.0762338!4d-114.000252?hl=EN",ChargePoint Charging Station,,,,Electric vehicle charging station,,"2620 A Barlow Trail NE, Calgary, AB T1Y 1A1, Canada","3XGX+FV Calgary, Alberta, Canada",ca.chargepoint.com,+1 888-758-4389,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,51.0761875,-114.0003125,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:53.219Z,,
"https://www.google.com/maps/place/ChargePoint+Charging+Station/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x537170954dba7283:0xb87ffb9baa99b95e!8m2!3d50.9852078!4d-114.0329119?hl=EN",ChargePoint Charging Station,,,,Electric vehicle charging station,,"34 Heritage Meadows Rd, Calgary, AB T2H 3C1, Canada","XXP8+3R Calgary, Alberta, Canada",ca.chargepoint.com,+1 888-758-4389,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,50.9851875,-114.0329375,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:54.751Z,,
"https://www.google.com/maps/place/Electric+Vehicle+Charging+Station,+5940+Blackfoot+Trail+SE,+Calgary,+AB+T2H+2B5,+Canada/@51.2496089,-113.8129046,9z/data=!4m5!1m2!2m1!1scalgary+electrical+charger+station!3m1!1s0x5371714df155e2ff:0x3140a63803816048?hl=EN",Electric Vehicle Charging Station,,,,Electric vehicle charging station,,"5940 Blackfoot Trail SE, Calgary, AB T2H 2B5, Canada","2X23+85 Calgary, Alberta, Canada",,,,,,,,,,,FALSE,51.0008125,-114.0470625,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:57.058Z,,
"https://www.google.com/maps/place/Tesla+Destination+Charger/@51.2496089,-113.8129046,9z/data=!4m8!1m2!2m1!1scalgary+electrical+charger+station!3m4!1s0x5371641e2164391d:0x32bad1b4c278a2!8m2!3d51.1405126!4d-114.0257376?hl=EN",Tesla Destination Charger,,,,Electric vehicle charging station,,"11 Freeport Cres NE, Calgary, AB T3J 0T4, Canada","4XRF+6P Calgary, Alberta, Canada",tesla.com,+1 403-516-2266,,,,,,,,,FALSE,51.1405625,-114.0256875,"https://www.google.com/maps/search/calgary+electrical+charger+station/@51.25094803566537,-113.27000839742594,14z/data=!3m1!4b1",2020-12-23T00:02:58.748Z,,
