,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abbeydale,51.0588364,-113.9294129,Atlas Pizza and Sports Bar,51.0524805,-113.9418587,Pizza Place
1,Abbeydale,51.0588364,-113.9294129,A&W,51.068291,-113.933571,Fast Food Restaurant
2,Abbeydale,51.0588364,-113.9294129,Costco,51.04314066784012,-113.9175181118504,Warehouse Store
3,Abbeydale,51.0588364,-113.9294129,Subway,51.05923895116167,-113.93442341268587,Sandwich Place
4,Abbeydale,51.0588364,-113.9294129,Calgary Co-op,51.06871899316432,-113.93401424109697,Grocery Store
5,Abbeydale,51.0588364,-113.9294129,Subway,51.06962324057938,-113.93290703696346,Sandwich Place
6,Abbeydale,51.0588364,-113.9294129,Petro-Canada,51.06937,-113.933826,Gas Station
7,Abbeydale,51.0588364,-113.9294129,Subway,51.05278592054154,-113.94244909969856,Sandwich Place
8,Abbeydale,51.0588364,-113.9294129,Pizza Hut,51.06418925983122,-113.95609617233276,Pizza Place
9,Abbeydale,51.0588364,-113.9294129,Dairy Queen,51.05308466685636,-113.94369900226593,Ice Cream Shop
10,Abbeydale,51.0588364,-113.9294129,McDonald's,51.070495523607235,-113.93423984853598,Fast Food Restaurant
11,Abbeydale,51.0588364,-113.9294129,Mely's Bakery and Café,51.0526719304692,-113.9360309000263,Café
12,Abbeydale,51.0588364,-113.9294129,Shoppers Drug Mart,51.054478,-113.955168,Pharmacy
13,Abbeydale,51.0588364,-113.9294129,Marlborough Park,51.060181446508984,-113.94501552671407,Park
14,Abbeydale,51.0588364,-113.9294129,Liquor Depot,51.06964071380535,-113.93467538787418,Liquor Store
15,Abbeydale,51.0588364,-113.9294129,Burger King,51.05390907884306,-113.95550237735733,Fast Food Restaurant
16,Abbeydale,51.0588364,-113.9294129,Chelsea's pub and grill,51.054748192802734,-113.95498065265687,Pub
17,Abbeydale,51.0588364,-113.9294129,Target Greens,51.070059337350756,-113.91486672770556,Golf Course
18,Abbeydale,51.0588364,-113.9294129,Creepy Alley,51.04322241080991,-113.9304972445801,Park
19,Abbeydale,51.0588364,-113.9294129,Pines Pub,51.07157923588852,-113.945133527572,Wings Joint
20,Abbeydale,51.0588364,-113.9294129,Little Caesars Pizza,51.05469113670804,-113.95546382385498,Pizza Place
21,Abbeydale,51.0588364,-113.9294129,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
22,Abbeydale,51.0588364,-113.9294129,GYMVMT Fitness Club - Trans Canada Mall,51.0639917,-113.9567586,Gym / Fitness Center
23,Acadia,50.9686551,-114.0555871,Acadia Aquatic & Fitness Centre,50.973297287842406,-114.0599838994121,Gym / Fitness Center
24,Acadia,50.9686551,-114.0555871,Italian Centre Shop Ltd.,50.963006511821334,-114.06024366617204,Grocery Store
25,Acadia,50.9686551,-114.0555871,Willow Park Wines & Spirits,50.95587820075675,-114.0692357890183,Wine Shop
26,Acadia,50.9686551,-114.0555871,Bolsa Vietnamese,50.968895441005095,-114.07025217585188,Vietnamese Restaurant
27,Acadia,50.9686551,-114.0555871,My Yoga Calgary (MYC),50.97168274901555,-114.06941861304357,Yoga Studio
28,Acadia,50.9686551,-114.0555871,Calgary Farmers' Market,50.98480933996366,-114.05146793204173,Farmers Market
29,Acadia,50.9686551,-114.0555871,Costa Vida,50.96572175686286,-114.07425573743438,Mexican Restaurant
30,Acadia,50.9686551,-114.0555871,Broken Plate,50.9563545,-114.0711669,Greek Restaurant
31,Acadia,50.9686551,-114.0555871,Earls Kitchen + Bar,50.95806730506391,-114.07114538750098,Restaurant
32,Acadia,50.9686551,-114.0555871,The Black Swan Ale House,50.96219981451056,-114.07289083003663,Pub
33,Acadia,50.9686551,-114.0555871,Sushi Ginza Restaurant,50.956795204210216,-114.06955384267974,Sushi Restaurant
34,Acadia,50.9686551,-114.0555871,Southcentre Mall,50.952880164531315,-114.06608641142157,Shopping Mall
35,Acadia,50.9686551,-114.0555871,Governor's,50.960476190981666,-114.04635794219435,Bar
36,Acadia,50.9686551,-114.0555871,HomeSense,50.9807044,-114.0701772,Furniture / Home Store
37,Acadia,50.9686551,-114.0555871,Banana Republic,50.978917131608526,-114.04321739825359,Clothing Store
38,Acadia,50.9686551,-114.0555871,Saigon Bistro,50.96740139142803,-114.07299510675998,Vietnamese Restaurant
39,Acadia,50.9686551,-114.0555871,Chianti Cafe Willow Park,50.955707340261085,-114.07104844368605,Italian Restaurant
40,Acadia,50.9686551,-114.0555871,Southland Dogpark,50.96715,-114.028965,Dog Run
41,Acadia,50.9686551,-114.0555871,Disney Store,50.952056,-114.06518,Toy / Game Store
42,Acadia,50.9686551,-114.0555871,IKEA Calgary - Restaurant,50.98097244173651,-114.04303461313248,Restaurant
43,Acadia,50.9686551,-114.0555871,Ranchman's Cookhouse & Dancehall,50.97063494571949,-114.07252303675601,Nightclub
44,Acadia,50.9686551,-114.0555871,Bulk Barn,50.970422217417706,-114.0708376150213,Candy Store
45,Acadia,50.9686551,-114.0555871,Mucho Burrito,50.982152720907436,-114.0407549955771,Mexican Restaurant
46,Acadia,50.9686551,-114.0555871,Fratello Analog Cafe,50.984817516242686,-114.05143747194398,Coffee Shop
47,Acadia,50.9686551,-114.0555871,Best Buy,50.9785399,-114.0436421,Electronics Store
48,Acadia,50.9686551,-114.0555871,The Shooting Edge,50.985464062636865,-114.05209243297575,Gun Shop
49,Acadia,50.9686551,-114.0555871,Starbucks,50.956212,-114.069658,Coffee Shop
50,Acadia,50.9686551,-114.0555871,SportChek,50.98287571806616,-114.04173461851785,Sporting Goods Shop
51,Acadia,50.9686551,-114.0555871,Shark Club,50.9823811228517,-114.04456345120558,Sports Bar
52,Acadia,50.9686551,-114.0555871,Hudson's Bay,50.95328415445684,-114.06689371193715,Department Store
53,Acadia,50.9686551,-114.0555871,Lowe's,50.967811917555125,-114.069789057175,Hardware Store
54,Acadia,50.9686551,-114.0555871,Fatburger,50.982271311386306,-114.0406509067459,Burger Joint
55,Acadia,50.9686551,-114.0555871,Trico Centre for Family Wellness,50.952005004173024,-114.05898186012047,Pool
56,Acadia,50.9686551,-114.0555871,Starbucks,50.97178355612332,-114.07095198297534,Coffee Shop
57,Acadia,50.9686551,-114.0555871,Denny's,50.98254118127572,-114.04504626989365,Breakfast Spot
58,Acadia,50.9686551,-114.0555871,Boston Pizza,50.96132278593418,-114.07252024497099,Pizza Place
59,Acadia,50.9686551,-114.0555871,Peanuts Public House,50.972754526908176,-114.06947171303358,Pub
60,Acadia,50.9686551,-114.0555871,Save-On-Foods,50.9743507,-114.0722694,Grocery Store
61,Acadia,50.9686551,-114.0555871,Starlite Restaurant & Bar,50.978659851001545,-114.06149689571166,American Restaurant
62,Acadia,50.9686551,-114.0555871,Crate & Barrel,50.95211603955792,-114.06671656767533,Furniture / Home Store
63,Acadia,50.9686551,-114.0555871,Carriage House Inn,50.97275988133734,-114.070151748302,Hotel
64,Acadia,50.9686551,-114.0555871,Booster Juice,50.95695237,-114.0708495,Smoothie Shop
65,Acadia,50.9686551,-114.0555871,Chapters,50.96872406670818,-114.07284639242316,Bookstore
66,Acadia,50.9686551,-114.0555871,The King's Head Pub,50.97193162291571,-114.07007952799596,Pub
67,Acadia,50.9686551,-114.0555871,Izumi Yokozuna,50.9636361411859,-114.07283829547308,Sushi Restaurant
68,Acadia,50.9686551,-114.0555871,Shoppers Drug Mart,50.978545,-114.060691,Pharmacy
69,Acadia,50.9686551,-114.0555871,RBC Royal Bank,50.97563499461,-114.07227169596229,Bank
70,Acadia,50.9686551,-114.0555871,Five Guys,50.98295435897841,-114.03934035143374,Burger Joint
71,Acadia,50.9686551,-114.0555871,Jugo Juice,50.98215555666476,-114.0406561755494,Juice Bar
72,Acadia,50.9686551,-114.0555871,Subway,50.97538701194157,-114.06928418746054,Sandwich Place
73,Acadia,50.9686551,-114.0555871,Subway,50.979151330540866,-114.06059304543902,Sandwich Place
74,Acadia,50.9686551,-114.0555871,Regal Beagle,50.96877687127057,-114.06938497829768,Pub
75,Acadia,50.9686551,-114.0555871,Toscana Italian Grill,50.9785539,-114.06976356,Italian Restaurant
